"PROFIT_06Y","CODE","PROFIT_14Y","PROFIT_12Y","PROFIT_10Y","ASSET_13Y","ASSET_08Y","PROFIT_09Y","ASSET_07Y","ASSET_15Y","ASSET_11Y","PROFIT_11Y","PROFIT_15Y","PROFIT_13Y","ASSET_09Y","PROFIT_07Y","ASSET_12Y","PROFIT_08Y","ASSET_14Y","ASSET_06Y","ASSET_10Y"
0,"000020",10,177,67,2270,1791,285,1610,2297,2139,54,49,13,2054,81,2296,215,2272,0,2089
16427,"000030",12080,14486,11086,183503,119265,9546,123100,193099,181261,20694,10754,4663,136350,17781,185659,2347,180934,112966,141911
1159,"000080",213,1035,610,13831,4748,1233,2945,13246,14233,702,534,791,7430,1507,14091,1548,13279,1389,6205
670,"000100",909,808,1280,12282,8626,1217,7565,13639,11167,942,1260,865,9677,921,11882,1256,12759,6724,10727
0,"000230",67,272,328,3244,1958,161,1730,3329,2950,193,119,171,2069,276,3102,270,3266,0,2803
1667,"000240",1838,32772,4775,22713,17679,3757,17093,25666,32167,3552,1727,1602,21135,1597,8253,235,24151,15615,25305
25,"000250",173,13,48,1192,717,53,681,1543,841,57,179,76,765,60,866,61,1397,650,796
166,"000320",371,189,112,4025,2665,86,2752,5214,3628,169,882,360,2726,112,3719,25,4398,2684,2799
71,"000390",355,160,79,2509,1208,161,1128,2878,2097,130,248,292,2006,47,2217,106,2797,1114,2019
99,"000430",184,488,397,4862,2959,69,1808,5104,4071,424,263,378,3157,110,4530,96,4906,1808,3264
0,"000440",28,18,14,449,402,7,405,498,437,35,4,18,404,13,442,4,501,0,412
230,"000480",487,345,401,6594,4081,312,4749,6013,6219,379,171,438,5178,230,6370,87,6504,3569,5133
65,"000590",144,65,57,2038,776,74,671,2459,1628,118,296,130,1123,41,1697,120,2244,615,1518
23,"000650",48,18,23,446,273,29,247,492,411,27,46,59,302,29,412,28,463,219,325
1041,"000670",1006,2774,2203,28165,11049,1603,10308,30034,19180,2320,899,2344,12813,1516,21812,1436,29122,9182,15187
3987,"000720",5867,5670,5426,52031,29215,4768,23300,74913,43635,6851,5840,5696,30795,2983,47559,3674,69663,18406,36618
0,"000810",5151,7992,5257,89690,34205,6004,32085,95388,58194,6668,8382,7767,38744,3415,77427,4771,78885,0,49540
142,"000850",213,154,236,2299,1719,104,1426,2637,2092,270,160,150,1791,178,2225,229,2489,1318,2497
143,"000860",417,306,248,3737,2520,273,2439,4479,3073,249,435,424,2765,145,3332,83,4100,2299,2977
0,"000970",51,40,59,2184,2038,56,2002,2244,2159,21,103,49,2060,82,2154,72,2191,0,2087
1150,"001040",5086,5703,7696,86009,32726,5293,30298,98635,75640,7361,5511,3226,39042,1071,83841,3465,90699,22464,56932
0,"001270",45,175,226,3831,3000,181,2288,3973,3813,269,154,59,3317,125,3971,212,3765,0,3512
15,"001420",8,14,10,309,261,3,280,318,289,23,7,20,265,12,295,0,314,273,272
0,"001450",2106,4140,1845,21507,6572,1151,4747,23723,11629,1614,2349,3442,8352,422,17812,1715,20527,0,10660
117,"001460",191,247,220,3479,2416,193,2369,3781,3088,270,132,155,2594,92,3333,50,3654,2269,2832
43,"001560",65,72,84,622,465,69,523,668,700,74,26,67,578,83,758,22,655,462,648
219,"001630",133,374,479,1853,2032,288,1806,3812,3593,565,306,4236,2278,176,3847,218,1885,1618,2711
553,"001720",499,588,900,9411,6608,522,5565,10233,8665,592,765,529,6678,488,9177,825,9631,5291,7909
0,"001750",46,75,215,2630,2220,132,1618,2598,2605,135,63,49,2228,120,2687,203,2561,0,2434
12,"001840",15,10,9,332,224,8,184,414,322,9,15,8,316,4,332,8,407,184,324
78,"002030",623,709,72,11509,7928,388,8114,11617,10530,203,82,552,8264,483,10882,129,11625,6870,8485
123,"002100",71,103,93,1632,1379,168,1231,1747,1430,5,70,140,1462,150,1517,116,1689,1174,1522
42,"002230",44,78,66,1015,518,39,498,1274,676,72,93,246,558,51,750,28,1097,426,617
201,"002240",2984,438,989,12709,8280,910,6679,14698,12718,1073,174,367,9380,418,12590,1286,14885,6222,10463
185,"002270",599,614,495,7724,3139,456,2845,8926,5232,481,503,1139,4203,219,6094,268,8320,2407,4761
41,"002290",16,30,21,481,368,39,354,524,443,20,32,14,406,17,470,16,495,340,424
2500,"002380",3267,4463,3740,50933,38208,4055,48096,58687,50255,3270,1851,2490,49519,2466,49619,2230,62293,28286,62497
32,"002450",106,76,36,1817,1294,75,1207,2165,1446,18,42,461,1373,47,1440,16,2125,1151,1404
0,"002550",1172,2144,1485,15946,5680,1173,4224,17849,9065,739,1388,1673,4928,186,13541,1248,15024,0,8205
108,"002620",21,112,255,2376,1553,280,1398,2414,2314,270,98,5,1837,137,2414,175,2352,1271,2078
1269,"002790",4974,3457,2881,39089,21767,2381,19994,48878,33576,3761,6739,3550,23677,1756,36342,1864,43234,18799,26301
85,"002810",215,220,197,2256,1368,133,1251,2616,1876,155,190,201,1484,105,2070,77,2452,1158,1671
0,"002840",161,135,179,1045,1073,70,869,1453,1086,209,117,176,1125,137,836,205,1361,0,886
144,"002920",203,268,157,2496,1709,14,1618,2826,2002,190,166,237,1682,132,2194,70,2673,1496,1851
85,"002960",269,312,271,900,492,313,494,969,773,261,312,296,727,151,860,121,906,428,726
0,"003000",195,64,279,1962,1706,306,1242,2100,2017,274,236,165,1740,195,1910,330,2011,0,1918
264,"003030",765,996,920,10994,6016,123,4570,12271,9552,988,458,1166,5926,208,10039,1231,11747,4159,6850
