"CODE","NAME","TOTALSTOCK"
"000020","동화약품",27931470
"000030","우리은행",676000000
"000040","KR모터스",175905372
"000050","경방",2741527
"000060","메리츠화재",110338000
"000070","삼양홀딩스",8564271
"000075","삼양홀딩스우",304058
"000080","하이트진로",70133611
"000087","하이트진로2우B",1130138
"000100","유한양행",11152546
"000105","유한양행우",236188
"000120","CJ대한통운",22812344
"000140","하이트진로홀딩스",23206765
"000760","이화산업",2800000
"000810","삼성화재",47374837
"000815","삼성화재우",3192000
"000850","화천기공",2200000
"000860","강남제비스코",6500000
"000880","한화",74958735
"000885","한화우",479294
"000890","보해양조",95796397
"000910","유니온",15611619
"000950","전방",1680000
"000970","한국주철관",22800500
"000990","동부하이텍",44367832
"000995","동부하이텍1우",112316
"001020","페이퍼코리아",160162357
"001040","CJ",29155298
"001045","CJ우",2260223
"001060","JW중외제약",18742676
"001065","JW중외제약우",157763
"001067","JW중외제약2우B",82805
"001070","대한방직",1060000
"001080","만호제강",4150000
"001120","LG상사",38760000
"001130","대한제분",1690000
"001140","국보",1027304
"001200","유진투자증권",96866418
"001210","금호전기",6916051
"001230","동국제강",95380849
"001250","GS글로벌",82533764
"001260","남광토건",9796455
"001270","부국증권",10369886
"001275","부국증권우",3000000
"001290","골든브릿지증권",63737067
"001340","백광산업",44918407
"001360","삼성제약",30713570
"001380","SG충방",41747470
"001390","KG케미칼",11478870
"001420","태원물산",7600000
"001430","세아베스틸",35862119
"001440","대한전선",856473009
"001450","현대해상",89400000
"001460","BYC",624615
"001465","BYC우",215385
"001470","삼부토건",6228585
"001500","HMC투자증권",29337111
"001510","SK증권",320117171
"001515","SK증권우",3912514
"001520","동양",238684063
"001525","동양우",617731
"001527","동양2우B",308569
"001529","동양3우B",89722
"001530","동일방직",2294311
"001550","조비",4008932
"001560","제일연마",10000000
"001570","금양",39353308
"001620","동국실업",26334520
"001630","종근당홀딩스",4477766
"001680","대상",34411575
"001685","대상우",1370223
"001689","대상3우B",236450
"001720","신영증권",9386237
"001725","신영증권우",7053763
"001740","SK네트웍스",248187647
"001745","SK네트웍스우",113648
"001750","한양증권",12728534
"001755","한양증권우",525000
"001770","신화실업",1214878
"001780","알루코",65553378
"001790","대한제당",8840002
"001795","대한제당우",648276
"001799","대한제당3우B",129656
"001800","오리온",5976091
"001820","삼화콘덴서",10395000
"001880","삼호",15179766
"001940","KISCO홀딩스",3695276
"002000","한국유리",10079660
"002005","한국유리우",454767
"002020","코오롱",12061185
"002025","코오롱우",1076390
"002030","아세아",2191024
"002070","남영비비안",6867945
"002100","경농",21691750
"002140","고려산업",24939425
"002150","도화엔지니어링",33720000
"002170","삼양통상",3000000
"002200","수출포장",4000000
"002210","동성제약",22404756
"002220","한일철강",2040000
"002240","고려제강",18000000
"002250","알보젠코리아",11857922
"002270","롯데푸드",1369436
"002300","한국제지",5004949
"002310","아세아제지",8956502
"002320","한진",11974656
"002350","넥센타이어",96415877
"002355","넥센타이어1우B",6500000
"002360","SH에너지화학",111133730
"002380","KCC",10556513
"002390","한독",12594080
"002410","범양건영",4752587
"002420","세기상사",407592
"002450","삼익악기",83864249
"002460","화성산업",12450800
"002550","KB손해보험",60000000
"002600","조흥",600000
"002620","제일약품",14850000
"002630","오리엔트바이오",155299535
"002690","동일제강",15000000
"002700","신일산업",71047521
"002710","TCC동양",22342500
"002720","국제약품",16607318
"002760","보락",11980000
"002780","진흥기업",152562189
"002785","진흥기업우B",857218
"002787","진흥기업2우B",294808
"002790","아모레G",79790980
"002795","아모레G우",6443770
"002810","삼영무역",16466623
"002820","선창산업",12607989
"002840","미원상사",881614
"002870","신풍제지",3495870
"002880","대유에이텍",91447161
"002900","동양물산",65388900
"002920","유성기업",25947500
"002960","한국쉘석유",1300000
"002990","금호산업",35090993
"002995","금호산업우",292266
"003000","부광약품",37348521
"003010","혜인",12712747
"003030","세아제강",6000000
"003060","슈넬생명과학",80872947
"003070","코오롱글로벌",16570088
"003075","코오롱글로벌우",312803
"003080","성보화학",20020000
"003090","대웅",11628396
"003120","일성신약",2660000
"003160","디아이",31496785
"003200","일신방직",2400000
"003220","대원제약",17681504
"003230","삼양식품",7533015
"003240","태광산업",1113400
"003280","흥아해운",102713430
"003300","한일시멘트",7545313
"003350","한국화장품제조",4532000
"003410","쌍용양회",74660436
"003415","쌍용양회우",308737
"003419","쌍용양회3우B",158805
"003450","현대증권",236612530
"003460","유화증권",11340483
"003465","유화증권우",3495285
"003470","유안타증권",199577435
"003475","유안타증권우",12912212
"003480","한진중공업홀딩스",29529812
"003490","대한항공",72839744
"003495","대한항공우",1110794
"003520","영진약품",177620000
"003530","한화투자증권",83355651
"003535","한화투자증권우",4800000
"003540","대신증권",50773400
"003545","대신증권우",26000000
"003547","대신증권2우B",10000000
"003550","LG",172557131
"003555","LG우",3314677
"003560","IHQ",143556056
"003570","S&T중공업",32473439
"003580","동원",6393588
"003610","방림",4231409
"003620","쌍용차",137220096
"003650","미창석유",1739672
"003680","한성기업",5477951
"003690","코리안리",120369116
"003720","삼영화학",34000000
"003780","진양산업",13000000
"003830","대한화섬",1328000
"003850","보령제약",8430000
"003920","남양유업",720000
"003925","남양유업우",166662
"003960","사조대림",5960575
"004000","롯데정밀화학",25800000
"004020","현대제철",133445785
"004060","SG세계물산",202424960
"004080","신흥",9600000
"004090","한국석유",655200
"004100","태양금속",36700000
"004105","태양금속우",3300000
"004130","대덕GDS",20575613
"004135","대덕GDS우",2160000
"004140","동방",21523970
"004150","한솔홀딩스",45712590
"004170","신세계",9845181
"004200","고려개발",21550000
"004250","NPC",36720000
"004255","NPC우",5280000
"004270","남성",36212160
"004310","현대약품",28000000
"004360","세방",19308690
"004365","세방우",3689250
"004370","농심",6082642
"004380","삼익THK",21000000
"004410","서울식품",13216400
"004415","서울식품우",88980
"004430","송원산업",24000000
"004440","대림씨엔에스",12731947
"004450","삼화왕관",2154379
"004490","세방전지",14000000
"004540","깨끗한나라",37228965
"004545","깨끗한나라우",366160
"004560","현대비앤지스틸",15078811
"004565","현대비앤지스틸우",109852
"004690","삼천리",4055025
"004700","조광피혁",6649138
"004710","한솔테크닉스",22109878
"004720","우리들제약",9427358
"004740","보루네오",39986091
"004770","써니전자",26460000
"004800","효성",35117455
"004830","덕성",15680000
"004835","덕성우",1392000
"004840","DRB동일",18510000
"004870","티웨이홀딩스",16250814
"004890","동일산업",2425215
"004910","조광페인트",12800000
"004920","씨아이테크",38841948
"004960","한신공영",9908391
"004970","신라교역",16000000
"004980","성신양회",24008482
"004985","성신양회우",735645
"004987","성신양회2우B",220693
"004989","성신양회3우B",286898
"004990","롯데제과",14214000
"005010","휴스틸",6918617
"005030","부산주공",22600000
"005070","코스모신소재",14987968
"005090","삼광글라스",4854418
"005110","한창",34458589
"005180","빙그레",9851241
"005190","동성화학",5304983
"005250","녹십자홀딩스",47028210
"005255","녹십자홀딩스1우",1668870
"005257","녹십자홀딩스2우",845990
"005300","롯데칠성",1237203
"005305","롯데칠성우",120000
"005320","국동",5866627
"005360","모나미",18897307
"005380","현대차",220276479
"005385","현대차우",25109982
"005387","현대차2우B",37613865
"005389","현대차3우B",2478299
"005390","신성통상",143708390
"005420","코스모화학",13328444
"005430","한국공항",3166355
"005440","현대그린푸드",97704482
"005450","신한",7022839
"005490","POSCO",87186835
"005500","삼진제약",13900000
"005610","삼립식품",8629009
"005620","대성합동지주",1799077
